Insider Holder Name,name,first,middle,last,extra,full name,company,company_name,lower_case,Filing Date,Amount Held,% Outstanding,Lastest Change,share_price
HARARI ELI,Harari Eli,Eli,,Harari,,Eli  Harari ,SNDK UW Equity,SANDISK CORP,Sandisk Corp,1/2/11,3283017,1.453,#N/A N/A,72.35
HERMANCE JR RONALD E,Hermance Jr Ronald E,Ronald,E,Hermance,Jr,Ronald E Hermance Jr,HCBK UW Equity,HUDSON CITY BNCP,Hudson City Bncp,9/17/13,3198540,0.605,4975,9.38
MCCLENDON AUBREY K,Mcclendon Aubrey K,Aubrey,K,Mcclendon,,Aubrey K Mcclendon ,CHK UN Equity,CHESAPEAKE ENERG,Chesapeake Energ,3/31/13,3187201,0.479,#N/A N/A,25.89
BERTHIAUME DOUGLAS A,Berthiaume Douglas A,Douglas,A,Berthiaume,,Douglas A Berthiaume ,WAT UN Equity,WATERS CORP,Waters Corp,12/3/13,3183330,3.739,-10049,100.97
PIGOTT MARK CHARLES,Pigott Mark Charles,Mark,Charles,Pigott,,Mark Charles Pigott ,PCAR UW Equity,PACCAR INC,Paccar Inc,12/5/13,3164812,0.894,257,58.72
BROCK JR MACON F,Brock Jr Macon F,Macon,F,Brock,Jr,Macon F Brock Jr,DLTR UW Equity,DOLLAR TREE INC,Dollar Tree Inc,7/1/13,3136040,1.507,-71000,56.5
DINGES DAN O,Dinges Dan O,Dan,O,Dinges,,Dan O Dinges ,COG UN Equity,CABOT OIL & GAS,Cabot Oil & Gas,12/12/13,3123134,0.74,#N/A N/A,39.05
CHAMBERS JOHN T,Chambers John T,John,T,Chambers,,John T Chambers ,CSCO UW Equity,CISCO SYSTEMS,Cisco Systems,9/11/13,3098733,0.058,-82837,22.22
KELLEHER HERBERT D,Kelleher Herbert D,Herbert,D,Kelleher,,Herbert D Kelleher ,LUV UN Equity,SOUTHWEST AIR,Southwest Air,7/28/08,3074737,0.441,-200000,19.69
EISENBERG WARREN,Eisenberg Warren,Warren,,Eisenberg,,Warren  Eisenberg ,BBBY UW Equity,BED BATH &BEYOND,Bed Bath &Beyond,5/12/13,3036655,1.414,1490,79.69
LAUDER LEONARD ALAN,Lauder Leonard Alan,Leonard,Alan,Lauder,,Leonard Alan Lauder ,EL UN Equity,ESTEE LAUDER,Estee Lauder,12/26/13,2876338,1.202,#N/A N/A,73.65
CAMMARATA BERNARD,Cammarata Bernard,Bernard,,Cammarata,,Bernard  Cammarata ,TJX UN Equity,TJX COS INC,Tjx Cos Inc,8/23/13,2745780,0.386,#N/A N/A,63.02
ORBAN GEORGE P,Orban George P,George,P,Orban,,George P Orban ,ROST UW Equity,ROSS STORES INC,Ross Stores Inc,5/22/13,2742720,1.276,1918,73.36
KENNEDY III JAMES,Kennedy Iii James,Iii,James,Kennedy,,Iii James Kennedy ,TROW UW Equity,T ROWE PRICE GRP,T Rowe Price Grp,12/20/13,2739193,1.05,-5138,83.76
HELMERICH HANS C,Helmerich Hans C,Hans,C,Helmerich,,Hans C Helmerich ,HP UN Equity,HELMERICH & PAYN,Helmerich & Payn,12/17/13,2714046,2.533,-37899,84.14
HERMANCE FRANK S,Hermance Frank S,Frank,S,Hermance,,Frank S Hermance ,AME UN Equity,AMETEK INC,Ametek Inc,12/31/13,2599078,1.062,4064,51.93
STEINOUR STEPHEN D,Steinour Stephen D,Stephen,D,Steinour,,Stephen D Steinour ,HBAN UW Equity,HUNTINGTON BANC,Huntington Banc,5/13/13,2597738,0.313,5945,9.71
NORDSTROM BLAKE W,Nordstrom Blake W,Blake,W,Nordstrom,,Blake W Nordstrom ,JWN UN Equity,NORDSTROM INC,Nordstrom Inc,12/10/13,2398012,1.24,#N/A N/A,59.81
GOTTESMAN DAVID S,Gottesman David S,David,S,Gottesman,,David S Gottesman ,BRK/B UN Equity,BERKSHIRE HATH-B,Berkshire Hath-B,3/1/13,2393398,0.205,-156026,115.76
MURDOCH JAMES RUPERT,Murdoch James Rupert,James,Rupert,Murdoch,,James Rupert Murdoch ,FOXA UW Equity,TWENTY-FIRST C-A,Twenty-First C-A,11/13/13,2389320,0.161,-455000,34.43
STATA RAY,Stata Ray,Ray,,Stata,,Ray  Stata ,ADI UW Equity,ANALOG DEVICES,Analog Devices,12/30/13,2263247,0.728,-20000,49.81
KORELL HAROLD M,Korell Harold M,Harold,M,Korell,,Harold M Korell ,SWN UN Equity,SOUTHWESTRN ENGY,Southwestrn Engy,12/5/13,2250095,0.64,-161628,39.07
SMUCKER RICHARD KIM,Smucker Richard Kim,Richard,Kim,Smucker,,Richard Kim Smucker ,SJM UN Equity,JM SMUCKER CO,Jm Smucker Co,6/10/13,2243970,2.134,18905,99.01
SARGENT RONALD L,Sargent Ronald L,Ronald,L,Sargent,,Ronald L Sargent ,SPLS UW Equity,STAPLES INC,Staples Inc,7/5/13,2205562,0.337,-68806,15.575
WARMENHOVEN DANIEL J,Warmenhoven Daniel J,Daniel,J,Warmenhoven,,Daniel J Warmenhoven ,NTAP UW Equity,NETAPP INC,Netapp Inc,12/31/13,2194122,0.644,#N/A N/A,40.85
RENWICK GLENN M,Renwick Glenn M,Glenn,M,Renwick,,Glenn M Renwick ,PGR UN Equity,PROGRESSIVE CORP,Progressive Corp,1/1/14,2193763,0.366,-104167,25.87
MOREAN WILLIAM D,Morean William D,William,D,Morean,,William D Morean ,JBL UN Equity,JABIL CIRCUIT,Jabil Circuit,1/23/13,2178904,1.072,#N/A N/A,16.8
BLANKFEIN LLOYD C,Blankfein Lloyd C,Lloyd,C,Blankfein,,Lloyd C Blankfein ,GS UN Equity,GOLDMAN SACHS GP,Goldman Sachs Gp,12/31/12,2161459,0.477,32820,177.94
TILLERSON REX W,Tillerson Rex W,Rex,W,Tillerson,,Rex W Tillerson ,XOM UN Equity,EXXON MOBIL CORP,Exxon Mobil Corp,12/18/13,2127390,0.049,-688,100.36
FAIRBANK RICHARD DANA,Fairbank Richard Dana,Richard,Dana,Fairbank,,Richard Dana Fairbank ,COF UN Equity,CAPITAL ONE FINA,Capital One Fina,11/18/13,2104104,0.365,-108338,77.45
GOULD ANDREW F J,Gould Andrew F J,Andrew,F J,Gould,,Andrew F J Gould ,SLB UN Equity,SCHLUMBERGER LTD,Schlumberger Ltd,2/17/12,2063639,0.157,#N/A N/A,86.49
FRANKFORT LEW,Frankfort Lew,Lew,,Frankfort,,Lew  Frankfort ,COH UN Equity,COACH INC,Coach Inc,10/24/13,2053141,0.732,21000,56.09
PINKERTON JOHN H,Pinkerton John H,John,H,Pinkerton,,John H Pinkerton ,RRC UN Equity,RANGE RESOURCES,Range Resources,5/22/13,2033682,1.244,63521,83.02
FARR DAVID N,Farr David N,David,N,Farr,,David N Farr ,EMR UN Equity,EMERSON ELEC CO,Emerson Elec Co,12/18/13,1924519,0.273,22407,68.61
IMMELT JEFFREY R,Immelt Jeffrey R,Jeffrey,R,Immelt,,Jeffrey R Immelt ,GE UN Equity,GENERAL ELECTRIC,General Electric,12/31/12,1921765,0.019,#N/A N/A,27.23
NELMS DAVID W,Nelms David W,David,W,Nelms,,David W Nelms ,DFS UN Equity,DISCOVER FINANCI,Discover Financi,12/23/13,1907193,0.4,#N/A N/A,54.89
BURNS URSULA M,Burns Ursula M,Ursula,M,Burns,,Ursula M Burns ,XRX UN Equity,XEROX CORP,Xerox Corp,7/1/13,1902886,0.155,723858,12.132
TUCCI JOSEPH M,Tucci Joseph M,Joseph,M,Tucci,,Joseph M Tucci ,EMC UN Equity,EMC CORP/MA,Emc Corp/Ma,8/8/13,1836242,0.089,-13248,25.65
TYSON JOHN H,Tyson John H,John,H,Tyson,,John H Tyson ,TSN UN Equity,TYSON FOODS-A,Tyson Foods-A,11/22/13,1817628,0.664,#N/A N/A,33.38
LUCZO STEPHEN J,Luczo Stephen J,Stephen,J,Luczo,,Stephen J Luczo ,STX UW Equity,SEAGATE TECHNOLO,Seagate Technolo,11/4/13,1807601,0.554,31869,60.11
FARACI JOHN VINCENT,Faraci John Vincent,John,Vincent,Faraci,,John Vincent Faraci ,IP UN Equity,INTL PAPER CO,Intl Paper Co,1/2/14,1754974,0.396,169495,48.92
BERAN DAVID R,Beran David R,David,R,Beran,,David R Beran ,MO UN Equity,ALTRIA GROUP INC,Altria Group Inc,2/7/13,1750184,0.087,#N/A N/A,37.31
SINEGAL JAMES D,Sinegal James D,James,D,Sinegal,,James D Sinegal ,COST UW Equity,COSTCO WHOLESALE,Costco Wholesale,12/16/13,1730950,0.394,-8000,114.06
MCDONNELL JOHN FINNEY,Mcdonnell John Finney,John,Finney,Mcdonnell,,John Finney Mcdonnell ,BA UN Equity,BOEING CO/THE,Boeing Co/The,1/31/12,1710334,0.228,970,140.54
DURCAN D MARK,Durcan D Mark,D,Mark,Durcan,,D Mark Durcan ,MU UW Equity,MICRON TECH,Micron Tech,10/16/13,1680599,0.159,#N/A N/A,23.965
WADDELL M KEITH,Waddell M Keith,M,Keith,Waddell,,M Keith Waddell ,RHI UN Equity,ROBERT HALF INTL,Robert Half Intl,12/31/13,1654153,1.193,-84777,41.1
SCRIPPS KATHY,Scripps Kathy,Kathy,,Scripps,,Kathy  Scripps ,SNI UN Equity,SCRIPPS NET-CL A,Scripps Net-Cl A,12/24/13,1638108,1.466,#N/A N/A,84.44
MOONVES LESLIE,Moonves Leslie,Leslie,,Moonves,,Leslie  Moonves ,CBS UN Equity,CBS CORP-B,Cbs Corp-B,11/15/13,1635243,0.292,-267037,62.9
MATHRANI SANDEEP,Mathrani Sandeep,Sandeep,,Mathrani,,Sandeep  Mathrani ,GGP UN Equity,GENERAL GROWTH P,General Growth P,12/31/12,1601958,0.176,1958,20.31
GARDNER JEFFERY R,Gardner Jeffery R,Jeffery,R,Gardner,,Jeffery R Gardner ,WIN UW Equity,WINDSTREAM HOLDI,Windstream Holdi,6/7/13,1599089,0.268,500,8
MILLER STUART A,Miller Stuart A,Stuart,A,Miller,,Stuart A Miller ,LEN UN Equity,LENNAR CORP-A,Lennar Corp-A,11/30/13,1582214,0.97,-104876,38.69
MONTAG THOMAS KELL,Montag Thomas Kell,Thomas,Kell,Montag,,Thomas Kell Montag ,BAC UN Equity,BANK OF AMERICA,Bank Of America,3/1/13,1532849,0.014,#N/A N/A,16.623
MAROONE MICHAEL E,Maroone Michael E,Michael,E,Maroone,,Michael E Maroone ,AN UN Equity,AUTONATION INC,Autonation Inc,9/12/13,1530946,1.257,-300940,48.96
O'REILLY DAVID E,O'Reilly David E,David,E,O'Reilly,,David E O'Reilly ,ORLY UW Equity,O'REILLY AUTOMOT,O'Reilly Automot,10/31/13,1469008,1.369,-1803,132.77
CAMILLERI LOUIS C,Camilleri Louis C,Louis,C,Camilleri,,Louis C Camilleri ,PM UN Equity,PHILIP MORRIS IN,Philip Morris In,12/4/13,1463294,0.091,-59999,83.76
